age,workclass,education,marital.status,income
53,Self,Some-college,Married,<=50K.
39,Self,Assoc-acdm,Married,>50K.
57,Self,Prof-school,Married,>50K.
48,Private,Bachelors,Divorced,<=50K.
30,Private,Some-college,Married,>50K.
35,Private,HS-grad,Married,<=50K.
42,Self,HS-grad,Married,<=50K.
34,Self,HS-grad,Married,<=50K.
59,Private,HS-grad,Married,>50K.
69,Govt,10th,Married,<=50K.
29,Private,Some-college,Never Married,<=50K.
40,Private,HS-grad,Married,<=50K.
21,Private,Some-college,Never Married,<=50K.
40,Private,Assoc-acdm,Divorced,<=50K.
43,Private,Some-college,Married,<=50K.
36,Private,HS-grad,Divorced,<=50K.
41,Private,HS-grad,Married,>50K.
72,NA,HS-grad,Widowed,<=50K.
20,Private,Some-college,Never Married,<=50K.
41,Govt,Bachelors,Widowed,<=50K.
34,Private,Some-college,Divorced,<=50K.
48,Private,11th,Divorced,<=50K.
27,Private,HS-grad,Never Married,<=50K.
35,Private,Some-college,Married,>50K.
28,NA,HS-grad,Never Married,<=50K.
27,Private,HS-grad,Never Married,<=50K.
20,Private,Some-college,Never Married,<=50K.
18,Private,Some-college,Never Married,<=50K.
32,Private,Bachelors,Married,<=50K.
38,Private,Masters,Married,>50K.
23,Govt,Some-college,Never Married,<=50K.
28,Private,Bachelors,Married,>50K.
40,Govt,Prof-school,Married,>50K.
35,Private,HS-grad,Divorced,<=50K.
74,Self,Some-college,Widowed,<=50K.
28,Private,HS-grad,Never Married,<=50K.
23,Private,Some-college,Never Married,<=50K.
20,Self,Some-college,Never Married,<=50K.
44,Private,HS-grad,Divorced,<=50K.
46,Govt,HS-grad,Divorced,<=50K.
20,NA,Some-college,Never Married,<=50K.
51,Self,Bachelors,Married,>50K.
40,Private,Some-college,Separated,<=50K.
48,Private,Prof-school,Married,>50K.
60,Self,9th,Married,<=50K.
48,Self,Bachelors,Married,>50K.
46,Govt,Bachelors,Married,<=50K.
48,Self,Bachelors,Married,>50K.
22,NA,HS-grad,Never Married,<=50K.
24,Govt,Bachelors,Never Married,<=50K.
45,Govt,Some-college,Divorced,<=50K.
18,Private,12th,Never Married,<=50K.
39,Private,HS-grad,Married,<=50K.
65,Self,HS-grad,Married,<=50K.
22,Private,Some-college,Divorced,<=50K.
20,Private,Some-college,Never Married,<=50K.
28,Private,Some-college,Married,<=50K.
46,Private,Prof-school,Married,>50K.
42,Govt,Bachelors,Married,>50K.
61,Govt,Doctorate,Married,>50K.
28,Private,Some-college,Married,>50K.
18,Private,Some-college,Never Married,<=50K.
24,Govt,Bachelors,Never Married,<=50K.
45,Private,Doctorate,Married,>50K.
24,Private,HS-grad,Never Married,<=50K.
44,Private,Bachelors,Married,>50K.
20,Private,Some-college,Never Married,<=50K.
35,Private,Some-college,Married,<=50K.
52,Self,Bachelors,Married,<=50K.
25,Private,Assoc-acdm,Never Married,<=50K.
19,Private,5th-6th,Never Married,<=50K.
35,NA,Bachelors,Married,<=50K.
54,Private,Some-college,Divorced,<=50K.
21,Private,Some-college,Never Married,<=50K.
26,Private,HS-grad,Married,>50K.
42,Private,Assoc-voc,Divorced,<=50K.
19,Private,Some-college,Never Married,<=50K.
55,Private,Masters,Married,>50K.
44,Govt,HS-grad,Married,<=50K.
25,Private,Bachelors,Never Married,<=50K.
26,Private,Some-college,Married,<=50K.
64,Govt,Assoc-acdm,Separated,>50K.
41,Private,11th,Divorced,<=50K.
25,NA,Some-college,Never Married,<=50K.
43,Private,Some-college,Married,<=50K.
45,Private,HS-grad,Never Married,>50K.
48,Govt,Bachelors,Married,>50K.
60,Private,HS-grad,Married,<=50K.
45,Self,Some-college,Never Married,<=50K.
51,Private,10th,Married,>50K.
37,Govt,HS-grad,Divorced,<=50K.
22,Private,Some-college,Never Married,<=50K.
44,Private,HS-grad,Married,>50K.
27,Private,HS-grad,Married,<=50K.
47,Govt,HS-grad,Married,<=50K.
32,Private,Masters,Married,>50K.
40,Private,Bachelors,Married,>50K.
41,Private,HS-grad,Married,<=50K.
32,NA,10th,Divorced,<=50K.
26,Private,Bachelors,Never Married,<=50K.
47,Private,Some-college,Married,<=50K.
55,Self,HS-grad,Married,<=50K.
38,Private,HS-grad,Married,<=50K.
24,Govt,Bachelors,Never Married,<=50K.
64,Self,Doctorate,Married,>50K.
56,Govt,Bachelors,Married,>50K.
41,Private,HS-grad,Married,>50K.
33,Private,HS-grad,Married,>50K.
33,Private,Prof-school,Never Married,>50K.
21,Private,Some-college,Married,<=50K.
59,Govt,HS-grad,Widowed,<=50K.
58,Private,Assoc-voc,Married,>50K.
43,Govt,Masters,Divorced,<=50K.
21,Private,HS-grad,Never Married,<=50K.
45,Private,HS-grad,Never Married,<=50K.
53,Govt,HS-grad,Married,>50K.
41,Private,Prof-school,Married,>50K.
27,Private,10th,Married,<=50K.
53,Private,Some-college,Married,>50K.
38,Private,Masters,Married,>50K.
31,Private,Bachelors,Married,>50K.
41,Private,HS-grad,Married,<=50K.
22,Govt,Some-college,Never Married,<=50K.
43,Self,Masters,Married,<=50K.
41,Govt,Some-college,Never Married,<=50K.
27,Private,Some-college,Married,<=50K.
41,Govt,Some-college,Married,<=50K.
36,Private,Prof-school,Divorced,>50K.
49,Private,Bachelors,Married,>50K.
20,Private,HS-grad,Never Married,<=50K.
58,Self,HS-grad,Married,<=50K.
35,Self,12th,Never Married,<=50K.
30,Govt,HS-grad,Married,>50K.
21,Private,HS-grad,Never Married,<=50K.
29,Private,Assoc-acdm,Never Married,<=50K.
40,Private,HS-grad,Widowed,<=50K.
54,Govt,Bachelors,Never Married,>50K.
35,Private,Bachelors,Married,>50K.
35,Private,Bachelors,Married,<=50K.
40,Private,Bachelors,Married,<=50K.
59,Private,HS-grad,Separated,<=50K.
43,Self,Some-college,Married,<=50K.
39,Private,10th,Married,>50K.
51,Private,7th-8th,Separated,<=50K.
71,Private,Some-college,Never Married,<=50K.
33,Private,12th,Divorced,<=50K.
28,Private,HS-grad,Divorced,<=50K.
30,Private,HS-grad,Married,<=50K.
20,Private,5th-6th,Married,<=50K.
51,Self,HS-grad,Married,<=50K.
39,Private,HS-grad,Married,>50K.
62,Private,Some-college,Married,>50K.
37,Private,HS-grad,Never Married,<=50K.
28,Private,9th,Never Married,<=50K.
23,Private,HS-grad,Never Married,<=50K.
39,Private,Bachelors,Married,<=50K.
50,Self,Bachelors,Widowed,>50K.
31,Private,7th-8th,Never Married,<=50K.
45,Govt,Bachelors,Married,>50K.
23,NA,Bachelors,Never Married,<=50K.
47,Private,10th,Widowed,<=50K.
59,Private,HS-grad,Widowed,<=50K.
32,Private,Assoc-acdm,Married,<=50K.
82,NA,7th-8th,Widowed,<=50K.
49,Private,Bachelors,Married,>50K.
74,Govt,HS-grad,Widowed,<=50K.
22,Private,Some-college,Never Married,<=50K.
32,Private,Some-college,Married,<=50K.
34,Private,Bachelors,Married,>50K.
59,Private,Bachelors,Married,>50K.
36,Private,Bachelors,Married,>50K.
59,Private,11th,Divorced,<=50K.
47,Self,Bachelors,Divorced,>50K.
53,Govt,HS-grad,Married,<=50K.
25,Self,Some-college,Never Married,<=50K.
44,Private,Bachelors,Divorced,<=50K.
57,Self,Prof-school,Married,>50K.
42,Self,Bachelors,Married,>50K.
58,Govt,10th,Married,<=50K.
39,Private,Bachelors,Married,<=50K.
32,NA,HS-grad,Never Married,<=50K.
45,Private,7th-8th,Divorced,<=50K.
47,Private,Bachelors,Married,>50K.
52,NA,Some-college,Married,<=50K.
56,Self,1st-4th,Separated,<=50K.
52,Private,HS-grad,Divorced,<=50K.
34,Private,HS-grad,Never Married,<=50K.
36,Self,7th-8th,Married,<=50K.
41,Private,HS-grad,Married,<=50K.
30,Private,Some-college,Never Married,<=50K.
44,Private,Bachelors,Married,<=50K.
17,NA,Some-college,Never Married,<=50K.
34,Private,Some-college,Never Married,<=50K.
41,Private,Some-college,Separated,<=50K.
29,Private,HS-grad,Never Married,<=50K.
25,Private,9th,Never Married,<=50K.
42,Govt,Bachelors,Separated,<=50K.
48,Private,Some-college,Married,>50K.
26,Private,Assoc-voc,Never Married,<=50K.
64,Self,HS-grad,Married,>50K.
46,Self,Bachelors,Married,<=50K.
38,Private,Bachelors,Married,>50K.
49,Govt,11th,Married,<=50K.
23,Private,Some-college,Never Married,<=50K.
46,Govt,Bachelors,Never Married,>50K.
30,Private,HS-grad,Never Married,<=50K.
49,Self,HS-grad,Married,>50K.
47,NA,Assoc-voc,Divorced,<=50K.
44,Private,Bachelors,Married,>50K.
31,Private,HS-grad,Divorced,<=50K.
19,Private,HS-grad,Never Married,<=50K.
45,Private,Assoc-acdm,Divorced,<=50K.
34,Private,Bachelors,Married,>50K.
26,Private,HS-grad,Never Married,<=50K.
38,Self,HS-grad,Married,>50K.
31,Private,Some-college,Never Married,<=50K.
36,Self,Assoc-acdm,Separated,<=50K.
31,Private,Bachelors,Married,>50K.
30,Private,Bachelors,Married,<=50K.
37,Private,HS-grad,Married,>50K.
30,Private,Bachelors,Never Married,>50K.
21,NA,HS-grad,Married,<=50K.
73,Private,10th,Widowed,<=50K.
38,Govt,Masters,Married,>50K.
30,Private,10th,Never Married,<=50K.
33,Private,HS-grad,Married,>50K.
52,Govt,Bachelors,Married,>50K.
58,Private,Some-college,Divorced,<=50K.
34,Govt,Masters,Never Married,<=50K.
35,Private,HS-grad,Married,<=50K.
59,Govt,HS-grad,Married,>50K.
45,Private,Bachelors,Divorced,<=50K.
27,Private,Some-college,Never Married,<=50K.
31,Govt,Doctorate,Never Married,>50K.
45,Private,Some-college,Never Married,<=50K.
40,Private,HS-grad,Separated,<=50K.
27,Private,Prof-school,Married,<=50K.
19,Private,HS-grad,Never Married,<=50K.
29,Private,5th-6th,Never Married,<=50K.
34,Self,Some-college,Married,<=50K.
32,Govt,Assoc-acdm,Married,<=50K.
49,Private,11th,Married,<=50K.
33,Private,11th,Divorced,>50K.
74,NA,7th-8th,Married,<=50K.
62,Private,Bachelors,Married,>50K.
39,Self,HS-grad,Married,<=50K.
43,Private,HS-grad,Divorced,<=50K.
22,Private,Some-college,Never Married,<=50K.
24,Private,HS-grad,Married,<=50K.
76,NA,HS-grad,Married,>50K.
25,Private,Some-college,Never Married,<=50K.
19,Private,Some-college,Never Married,<=50K.
31,Private,Assoc-acdm,Divorced,<=50K.
53,Private,11th,Divorced,<=50K.
61,Private,HS-grad,Married,<=50K.
47,Private,Bachelors,Married,<=50K.
37,Private,HS-grad,Divorced,<=50K.
50,Self,Bachelors,Divorced,<=50K.
27,Private,Some-college,Never Married,<=50K.
58,Private,HS-grad,Divorced,<=50K.
43,Private,HS-grad,Married,<=50K.
39,Private,Assoc-acdm,Married,<=50K.
36,Private,Some-college,Never Married,<=50K.
56,Private,Bachelors,Married,<=50K.
26,Private,HS-grad,Married,<=50K.
23,Private,Bachelors,Never Married,<=50K.
47,Private,11th,Never Married,<=50K.
68,Private,12th,Widowed,<=50K.
47,Govt,Some-college,Never Married,<=50K.
45,Govt,Some-college,Married,>50K.
26,Private,Some-college,Married,<=50K.
20,Private,HS-grad,Never Married,<=50K.
46,Private,Some-college,Never Married,<=50K.
37,Private,Assoc-acdm,Married,>50K.
37,Private,Some-college,Married,<=50K.
43,Private,Some-college,Married,<=50K.
59,Private,Masters,Widowed,<=50K.
39,Private,HS-grad,Divorced,<=50K.
32,Private,Some-college,Divorced,<=50K.
63,Private,Some-college,Married,<=50K.
45,Private,Bachelors,Married,>50K.
59,Private,Bachelors,Divorced,<=50K.
36,NA,12th,Never Married,<=50K.
26,Private,HS-grad,Never Married,<=50K.
34,Private,HS-grad,Divorced,<=50K.
41,Private,HS-grad,Married,>50K.
26,Private,HS-grad,Never Married,<=50K.
53,Private,HS-grad,Divorced,<=50K.
33,Private,HS-grad,Married,>50K.
46,Private,Bachelors,Married,>50K.
79,NA,HS-grad,Widowed,<=50K.
31,Private,HS-grad,Widowed,<=50K.
24,Private,HS-grad,Separated,<=50K.
57,Govt,HS-grad,Divorced,<=50K.
40,Private,HS-grad,Separated,<=50K.
41,Self,Assoc-voc,Married,<=50K.
20,Private,Some-college,Never Married,<=50K.
45,Private,11th,Never Married,<=50K.
27,Private,Assoc-voc,Separated,<=50K.
36,Private,5th-6th,Married,<=50K.
30,Private,HS-grad,Married,<=50K.
36,Private,Bachelors,Married,>50K.
25,Private,HS-grad,Married,<=50K.
30,NA,Some-college,Never Married,<=50K.
31,Private,HS-grad,Married,<=50K.
49,Private,HS-grad,Married,>50K.
26,Private,11th,Never Married,<=50K.
25,Private,Bachelors,Never Married,<=50K.
29,Private,Assoc-voc,Never Married,<=50K.
24,Private,Some-college,Never Married,<=50K.
41,Private,HS-grad,Married,>50K.
35,Private,Masters,Never Married,>50K.
57,Self,Bachelors,Married,>50K.
21,Private,11th,Never Married,<=50K.
29,Private,10th,Never Married,<=50K.
36,Private,Some-college,Married,<=50K.
20,Private,Some-college,Never Married,<=50K.
51,Private,Bachelors,Married,>50K.
39,Private,11th,Married,<=50K.
36,Private,Bachelors,Married,<=50K.
40,Self,Prof-school,Married,>50K.
61,Private,HS-grad,Married,<=50K.
38,Private,Prof-school,Married,<=50K.
20,NA,Some-college,Never Married,<=50K.
21,Private,HS-grad,Separated,<=50K.
40,Private,HS-grad,Divorced,<=50K.
46,Private,10th,Married,<=50K.
21,Private,Some-college,Married,<=50K.
35,Self,10th,Married,<=50K.
39,Private,Bachelors,Married,<=50K.
38,Self,HS-grad,Married,<=50K.
30,Private,HS-grad,Separated,<=50K.
28,Private,9th,Never Married,<=50K.
32,Private,Bachelors,Married,>50K.
46,Self,Assoc-voc,Married,>50K.
40,Private,Assoc-voc,Married,<=50K.
47,Private,HS-grad,Married,>50K.
44,Private,10th,Married,<=50K.
38,Private,HS-grad,Married,<=50K.
51,NA,HS-grad,Married,>50K.
46,Self,Bachelors,Married,>50K.
51,Private,Doctorate,Married,>50K.
45,Private,Doctorate,Widowed,>50K.
20,Private,Some-college,Never Married,<=50K.
44,Private,Bachelors,Married,<=50K.
33,Private,Assoc-voc,Married,<=50K.
18,Private,HS-grad,Never Married,<=50K.
61,Self,Prof-school,Separated,>50K.
50,Govt,Bachelors,Never Married,<=50K.
47,Govt,HS-grad,Never Married,<=50K.
34,Private,Bachelors,Married,>50K.
53,Private,HS-grad,Married,<=50K.
39,Self,Some-college,Married,<=50K.
58,Private,HS-grad,Married,>50K.
66,NA,HS-grad,Married,<=50K.
26,Private,11th,Never Married,<=50K.
41,Private,5th-6th,Married,<=50K.
47,Govt,Some-college,Married,<=50K.
31,Private,Assoc-voc,Married,<=50K.
52,Private,Some-college,Married,>50K.
29,Private,Assoc-acdm,Married,>50K.
43,Private,9th,Separated,<=50K.
42,Govt,Masters,Married,>50K.
35,Private,Some-college,Never Married,<=50K.
41,Private,HS-grad,Married,<=50K.
34,Private,Bachelors,Married,>50K.
52,Self,Some-college,Married,<=50K.
61,Private,Some-college,Married,<=50K.
39,Govt,HS-grad,Separated,<=50K.
19,Private,Some-college,Never Married,<=50K.
46,Govt,Bachelors,Married,>50K.
39,Private,Some-college,Never Married,<=50K.
22,Private,Some-college,Never Married,<=50K.
30,Govt,HS-grad,Separated,<=50K.
40,Private,Assoc-voc,Divorced,<=50K.
43,Private,Bachelors,Married,<=50K.
37,Private,5th-6th,Married,<=50K.
23,Private,Assoc-acdm,Never Married,<=50K.
39,Govt,Assoc-acdm,Divorced,<=50K.
54,Private,Masters,Married,<=50K.
46,Self,Some-college,Married,<=50K.
20,Private,Some-college,Never Married,<=50K.
50,Self,Bachelors,Married,>50K.
17,Private,10th,Never Married,<=50K.
36,Private,HS-grad,Married,<=50K.
37,Private,HS-grad,Married,<=50K.
53,Private,HS-grad,Divorced,<=50K.
50,Private,HS-grad,Married,>50K.
38,Private,HS-grad,Married,<=50K.
63,Self,HS-grad,Married,<=50K.
53,Private,HS-grad,Married,>50K.
40,NA,Bachelors,Divorced,<=50K.
23,Self,Some-college,Never Married,<=50K.
20,Private,HS-grad,Never Married,<=50K.
46,Private,Some-college,Married,>50K.
28,Private,10th,Never Married,<=50K.
59,Private,Masters,Divorced,<=50K.
41,Private,Bachelors,Married,>50K.
33,Private,Preschool,Married,<=50K.
56,Private,12th,Married,<=50K.
50,Self,HS-grad,Married,>50K.
31,Govt,Bachelors,Never Married,<=50K.
41,Private,Assoc-voc,Divorced,<=50K.
38,Private,Bachelors,Married,>50K.
25,Govt,Assoc-acdm,Never Married,<=50K.
18,NA,HS-grad,Never Married,<=50K.
49,Govt,Bachelors,Divorced,<=50K.
39,Private,Some-college,Never Married,<=50K.
22,NA,Some-college,Never Married,<=50K.
21,Private,Some-college,Never Married,<=50K.
35,Private,Bachelors,Married,<=50K.
21,NA,HS-grad,Never Married,<=50K.
38,Private,HS-grad,Married,>50K.
55,Private,7th-8th,Widowed,<=50K.
31,Private,HS-grad,Divorced,<=50K.
17,Self,11th,Never Married,<=50K.
31,Private,Bachelors,Married,>50K.
25,Govt,Bachelors,Never Married,<=50K.
39,Private,Masters,Married,>50K.
50,Private,7th-8th,Married,<=50K.
38,Govt,Bachelors,Married,>50K.
50,Private,Some-college,Married,<=50K.
63,Private,10th,Married,<=50K.
31,Private,HS-grad,Married,<=50K.
23,Private,Bachelors,Never Married,<=50K.
18,Private,Some-college,Never Married,<=50K.
43,Govt,Bachelors,Divorced,<=50K.
34,Private,Some-college,Married,>50K.
18,Private,11th,Never Married,<=50K.
46,Private,HS-grad,Married,>50K.
35,Private,Bachelors,Never Married,>50K.
46,Govt,Masters,Never Married,<=50K.
59,Private,Assoc-voc,Married,>50K.
31,Private,7th-8th,Never Married,<=50K.
27,Private,HS-grad,Divorced,<=50K.
41,Private,Masters,Married,<=50K.
42,Private,HS-grad,Never Married,<=50K.
55,Private,Bachelors,Married,>50K.
34,NA,HS-grad,Never Married,<=50K.
44,Private,HS-grad,Never Married,<=50K.
26,Private,Bachelors,Never Married,<=50K.
36,Private,Assoc-voc,Married,>50K.
69,Private,9th,Married,<=50K.
33,Private,Some-college,Never Married,<=50K.
30,Private,Assoc-voc,Married,<=50K.
35,Private,HS-grad,Married,>50K.
25,Private,Bachelors,Never Married,>50K.
21,Private,Some-college,Never Married,<=50K.
18,Private,11th,Never Married,<=50K.
35,Self,Some-college,Married,>50K.
20,Private,HS-grad,Married,<=50K.
26,Private,Masters,Married,<=50K.
46,Private,Bachelors,Married,<=50K.
31,Private,Bachelors,Never Married,<=50K.
40,Private,Prof-school,Married,>50K.
40,Private,HS-grad,Divorced,<=50K.
31,Private,Bachelors,Never Married,<=50K.
32,Self,Doctorate,Married,<=50K.
23,Self,Some-college,Divorced,<=50K.
25,Govt,Masters,Never Married,<=50K.
37,Private,Some-college,Married,<=50K.
18,Private,Some-college,Never Married,<=50K.
55,Private,HS-grad,Widowed,<=50K.
52,Private,9th,Divorced,<=50K.
26,Private,HS-grad,Never Married,<=50K.
37,Private,Some-college,Never Married,>50K.
39,Private,HS-grad,Divorced,<=50K.
62,Self,Bachelors,Divorced,>50K.
19,NA,Some-college,Never Married,<=50K.
47,Private,HS-grad,Married,>50K.
51,Govt,Bachelors,Married,>50K.
55,Private,HS-grad,Divorced,<=50K.
30,Private,HS-grad,Married,<=50K.
59,Govt,Some-college,Married,<=50K.
45,Self,10th,Married,<=50K.
52,Private,Some-college,Married,>50K.
21,Private,HS-grad,Never Married,<=50K.
31,Private,HS-grad,Married,<=50K.
29,Private,Some-college,Never Married,<=50K.
24,Private,HS-grad,Married,<=50K.
17,Private,10th,Never Married,<=50K.
47,Private,HS-grad,Divorced,<=50K.
46,Private,Some-college,Married,>50K.
32,NA,HS-grad,Divorced,<=50K.
34,Private,10th,Never Married,<=50K.
63,Private,12th,Married,<=50K.
21,Private,Some-college,Never Married,<=50K.
18,Private,HS-grad,Never Married,<=50K.
49,Govt,Doctorate,Married,>50K.
81,Self,HS-grad,Widowed,<=50K.
36,Self,Assoc-acdm,Married,>50K.
47,Private,HS-grad,Married,>50K.
36,Private,Masters,Married,>50K.
39,Self,Assoc-voc,Married,<=50K.
46,Private,Bachelors,Never Married,<=50K.
43,Govt,Some-college,Married,>50K.
39,Govt,Bachelors,Divorced,<=50K.
29,Private,Some-college,Separated,<=50K.
23,Private,HS-grad,Never Married,<=50K.
57,Private,10th,Married,<=50K.
38,Self,HS-grad,Never Married,<=50K.
25,Private,Bachelors,Never Married,<=50K.
39,Govt,Some-college,Married,<=50K.
24,Private,Some-college,Never Married,<=50K.
56,Private,Masters,Married,>50K.
39,Private,12th,Divorced,<=50K.
23,Private,Assoc-voc,Never Married,<=50K.
17,NA,11th,Never Married,<=50K.
67,Self,HS-grad,Divorced,<=50K.
41,Private,Bachelors,Never Married,<=50K.
24,Govt,Bachelors,Never Married,<=50K.
51,Private,Bachelors,Divorced,>50K.
30,Self,HS-grad,Divorced,<=50K.
47,Self,HS-grad,Married,>50K.
56,Private,HS-grad,Never Married,<=50K.
51,Private,HS-grad,Divorced,<=50K.
57,Self,Some-college,Married,<=50K.
34,Private,Some-college,Divorced,<=50K.
24,Private,Bachelors,Never Married,<=50K.
57,Private,HS-grad,Married,<=50K.
38,Private,HS-grad,Married,>50K.
23,Private,HS-grad,Never Married,<=50K.
35,Private,7th-8th,Married,<=50K.
58,Private,HS-grad,Married,<=50K.
19,NA,HS-grad,Never Married,<=50K.
19,NA,7th-8th,Never Married,<=50K.
68,Govt,Doctorate,Married,>50K.
43,Private,Some-college,Married,>50K.
17,Private,11th,Never Married,<=50K.
53,Govt,Doctorate,Married,>50K.
37,Self,Doctorate,Married,>50K.
21,NA,Bachelors,Never Married,<=50K.
63,Private,HS-grad,Married,>50K.
31,Private,Some-college,Married,<=50K.
29,Private,HS-grad,Married,<=50K.
43,Govt,Some-college,Married,>50K.
27,Private,Prof-school,Never Married,>50K.
25,Self,HS-grad,Never Married,<=50K.
28,Private,HS-grad,Never Married,<=50K.
54,Private,HS-grad,Divorced,<=50K.
74,NA,Some-college,Widowed,<=50K.
31,Govt,Some-college,Never Married,<=50K.
23,Private,Some-college,Never Married,<=50K.
19,Private,Bachelors,Never Married,<=50K.
39,NA,Preschool,Widowed,<=50K.
61,Self,HS-grad,Married,<=50K.
59,NA,HS-grad,Married,>50K.
27,Self,Assoc-voc,Married,>50K.
19,Private,Some-college,Never Married,<=50K.
23,NA,HS-grad,Never Married,<=50K.
25,Govt,HS-grad,Divorced,<=50K.
40,Private,Some-college,Married,>50K.
53,Private,11th,Divorced,<=50K.
32,Private,Bachelors,Never Married,<=50K.
72,Self,Doctorate,Married,>50K.
61,Private,7th-8th,Married,<=50K.
42,Private,HS-grad,Married,<=50K.
17,Private,10th,Never Married,<=50K.
73,Private,HS-grad,Married,<=50K.
41,Self,Some-college,Separated,<=50K.
23,Private,Some-college,Never Married,<=50K.
23,Private,HS-grad,Never Married,<=50K.
65,Private,Assoc-voc,Married,<=50K.
45,Self,HS-grad,Married,<=50K.
52,Govt,Bachelors,Married,>50K.
24,Govt,Bachelors,Never Married,<=50K.
23,Private,Assoc-voc,Married,<=50K.
30,Private,Some-college,Divorced,<=50K.
26,Private,Bachelors,Never Married,<=50K.
37,Self,HS-grad,Divorced,<=50K.
17,Private,HS-grad,Never Married,<=50K.
31,Private,HS-grad,Married,<=50K.
52,Private,HS-grad,Separated,<=50K.
63,Private,Bachelors,Never Married,<=50K.
27,Private,HS-grad,Never Married,<=50K.
31,Private,9th,Married,<=50K.
71,Self,HS-grad,Widowed,<=50K.
35,Private,Bachelors,Married,<=50K.
44,Private,HS-grad,Married,<=50K.
36,Private,Masters,Married,<=50K.
22,Private,Bachelors,Never Married,<=50K.
32,Private,HS-grad,Married,<=50K.
30,Govt,Bachelors,Divorced,<=50K.
60,NA,HS-grad,Married,<=50K.
25,Private,Some-college,Never Married,<=50K.
76,Private,7th-8th,Widowed,<=50K.
41,Private,HS-grad,Divorced,<=50K.
26,Private,7th-8th,Married,<=50K.
45,Private,12th,Married,<=50K.
32,Private,Some-college,Divorced,<=50K.
22,Private,HS-grad,Never Married,<=50K.
39,Private,Bachelors,Married,>50K.
63,Self,Bachelors,Never Married,<=50K.
23,Private,Assoc-acdm,Never Married,<=50K.
61,Private,10th,Married,<=50K.
31,Govt,Assoc-voc,Married,<=50K.
25,Private,9th,Married,<=50K.
33,Private,HS-grad,Never Married,<=50K.
39,Private,HS-grad,Married,<=50K.
53,Private,Bachelors,Married,<=50K.
26,Govt,Bachelors,Never Married,<=50K.
21,Private,Some-college,Never Married,<=50K.
18,Private,HS-grad,Never Married,<=50K.
34,Private,Bachelors,Married,>50K.
44,Govt,Masters,Married,>50K.
31,Private,HS-grad,Divorced,<=50K.
44,Private,HS-grad,Married,>50K.
42,Private,Prof-school,Married,>50K.
43,Private,HS-grad,Married,<=50K.
33,Private,Bachelors,Married,>50K.
21,Private,Some-college,Never Married,<=50K.
30,Private,HS-grad,Married,>50K.
55,Private,HS-grad,Married,<=50K.
57,Private,Some-college,Never Married,<=50K.
37,Private,HS-grad,Never Married,<=50K.
32,Private,HS-grad,Married,>50K.
62,Self,Bachelors,Married,>50K.
31,Self,Bachelors,Never Married,>50K.
51,Private,Bachelors,Married,>50K.
37,Private,Masters,Divorced,<=50K.
45,Private,5th-6th,Married,<=50K.
47,Private,Some-college,Married,<=50K.
31,NA,HS-grad,Divorced,<=50K.
75,Self,11th,Married,<=50K.
43,Private,Masters,Married,<=50K.
39,Private,Assoc-acdm,Married,>50K.
30,Private,Bachelors,Married,>50K.
27,Private,5th-6th,Never Married,<=50K.
44,Private,HS-grad,Married,<=50K.
53,Govt,Masters,Divorced,>50K.
40,Private,Bachelors,Married,<=50K.
18,Private,11th,Never Married,<=50K.
33,Private,Bachelors,Married,<=50K.
20,Private,HS-grad,Never Married,<=50K.
38,Private,Some-college,Married,<=50K.
48,Private,HS-grad,Divorced,<=50K.
46,Self,HS-grad,Married,<=50K.
51,Private,HS-grad,Married,<=50K.
35,Self,HS-grad,Never Married,<=50K.
24,Private,7th-8th,Never Married,<=50K.
30,Private,Some-college,Divorced,<=50K.
70,Private,HS-grad,Married,<=50K.
26,Private,HS-grad,Married,<=50K.
34,Private,HS-grad,Married,<=50K.
46,Private,HS-grad,Married,>50K.
70,Private,HS-grad,Married,<=50K.
37,Govt,Some-college,Married,<=50K.
36,Self,Some-college,Divorced,<=50K.
23,Private,9th,Never Married,<=50K.
28,Private,HS-grad,Married,<=50K.
44,Self,Some-college,Married,>50K.
58,Private,HS-grad,Divorced,<=50K.
53,Private,Some-college,Married,>50K.
23,Private,Some-college,Married,<=50K.
26,Private,HS-grad,Never Married,<=50K.
21,NA,Some-college,Married,<=50K.
34,Govt,Masters,Divorced,<=50K.
43,Private,11th,Married,<=50K.
22,Private,Some-college,Never Married,<=50K.
41,Private,Some-college,Married,>50K.
36,Private,HS-grad,Married,<=50K.
41,Govt,Bachelors,Married,<=50K.
27,Private,HS-grad,Never Married,<=50K.
42,Self,Some-college,Married,<=50K.
27,Private,Assoc-voc,Never Married,<=50K.
41,Private,HS-grad,Divorced,<=50K.
32,Private,Bachelors,Married,>50K.
21,Private,Some-college,Never Married,<=50K.
44,Private,Bachelors,Married,>50K.
29,Private,Bachelors,Never Married,<=50K.
19,Self,Some-college,Never Married,<=50K.
21,Govt,Some-college,Never Married,<=50K.
46,Private,HS-grad,Married,<=50K.
38,Private,Bachelors,Married,>50K.
43,Private,Some-college,Never Married,>50K.
54,Self,HS-grad,Married,>50K.
38,Private,Masters,Married,>50K.
18,NA,Some-college,Never Married,<=50K.
50,Private,HS-grad,Married,>50K.
30,Private,Assoc-voc,Married,>50K.
30,Private,9th,Married,<=50K.
28,Govt,HS-grad,Never Married,<=50K.
26,Private,Assoc-voc,Never Married,<=50K.
37,Govt,Some-college,Married,<=50K.
32,Private,HS-grad,Married,>50K.
