"","Int.l.Plan","VMail.Plan","Day.Mins","CustServ.Calls","Churn."
"1055","no","no",183.6,1,"False."
"1056","no","no",178.1,1,"False."
"1057","no","no",201.4,0,"False."
"1058","no","yes",123,1,"False."
"1059","no","no",208,0,"False."
"1060","no","no",239.2,1,"False."
"1061","no","no",193,1,"False."
"1062","no","yes",174.5,1,"False."
"1063","no","yes",116.7,1,"False."
"1064","no","no",93.8,1,"False."
"1065","yes","yes",154.1,2,"False."
"1066","no","yes",239.5,0,"False."
"1067","no","yes",216,0,"False."
"1068","no","no",187.4,1,"False."
"1070","no","no",160.4,1,"False."
"1071","no","no",143.2,1,"False."
"1073","no","yes",219.1,1,"False."
"1074","no","no",143.2,1,"False."
"1078","no","no",154.2,4,"True."
"1080","no","no",209.9,1,"False."
"1081","no","no",191.5,0,"False."
"1082","no","yes",291.1,1,"False."
"1083","no","no",215.6,3,"False."
"1085","no","no",255.9,3,"False."
"1087","no","no",132.1,3,"False."
"1088","no","no",217,1,"False."
"1089","no","yes",101.9,0,"False."
"1090","no","no",211.5,2,"False."
"1091","no","no",153.4,0,"False."
"1092","no","no",166.3,2,"False."
"1095","no","no",245.2,0,"False."
"1098","no","yes",279.9,1,"False."
"1099","no","no",187.2,1,"False."
"1100","no","no",276.2,3,"False."
"1101","no","yes",200.4,1,"False."
"1102","no","no",162.3,2,"False."
"1104","no","no",165.5,0,"False."
"1107","no","no",190.5,3,"False."
"1108","no","yes",179.9,3,"False."
"1109","no","no",235.9,3,"False."
"1110","no","no",140.4,0,"False."
"1111","no","no",144.6,2,"False."
"1112","no","no",189,0,"False."
"1113","no","no",101,0,"False."
"1114","no","no",206.3,1,"False."
"1115","no","yes",165.1,1,"False."
"1116","no","no",165,1,"True."
"1117","no","no",155.9,3,"False."
"1120","no","no",208.3,3,"False."
"1121","no","no",157.1,1,"False."
"1122","no","no",154.4,5,"True."
"1123","no","no",189.1,1,"True."
"1125","no","no",166.4,1,"False."
"1126","no","no",142.3,2,"False."
"1128","no","yes",184.1,0,"False."
"1130","no","no",103.3,2,"False."
"1131","no","no",35.1,1,"False."
"1132","no","yes",246.6,1,"False."
"1133","no","yes",78.5,1,"False."
"1134","no","no",148.1,5,"True."
"1135","no","no",206.2,1,"False."
"1138","no","yes",156.6,1,"False."
"1139","no","no",139.4,1,"False."
"1140","no","no",220.2,2,"False."
"1141","no","yes",214.1,1,"False."
"1142","no","no",196,1,"False."
"1143","no","no",106.4,6,"True."
"1147","no","no",151.6,1,"False."
"1148","no","yes",262.2,0,"False."
"1149","no","no",173.6,3,"False."
"1150","yes","no",106.6,2,"False."
"1151","no","no",193.3,5,"True."
"1155","no","yes",214.6,1,"False."
"1156","no","no",131.6,4,"True."
"1157","no","no",168.4,1,"False."
"1158","no","no",146.4,1,"False."
"1159","yes","no",183,1,"False."
"1160","no","no",103.3,0,"False."
"1161","no","yes",112.2,0,"False."
"1162","yes","no",170.7,3,"False."
"1163","no","no",172.5,0,"False."
"1164","no","yes",194.3,1,"False."
"1165","no","yes",187.8,2,"False."
"1166","yes","yes",307.1,0,"False."
"1167","no","no",118.2,3,"False."
"1168","no","no",154,1,"False."
"1169","no","no",155.5,1,"False."
"1170","yes","no",125.6,1,"False."
"1171","no","no",199.3,0,"False."
"1172","no","no",157.9,1,"False."
"1173","no","no",203.4,2,"False."
"1177","no","no",193.2,4,"False."
"1178","no","no",113.2,3,"False."
"1181","no","no",207.8,0,"False."
"1183","no","no",287.1,3,"True."
"1184","no","yes",192.3,2,"False."
"1185","no","no",194.2,2,"False."
"1186","no","no",211,3,"False."
"1187","no","yes",141.9,0,"False."
"1189","no","no",157.4,1,"False."
"1190","no","yes",143.5,0,"False."
"1191","no","no",156,0,"False."
"1192","yes","no",160.1,2,"False."
"1193","yes","no",235.1,4,"True."
"1195","no","no",188.4,1,"False."
"1197","no","no",247.8,1,"False."
"1198","no","no",221.2,4,"False."
"1199","no","yes",118.5,2,"False."
"1200","no","yes",231.8,1,"False."
"1201","no","yes",215.9,1,"False."
"1202","no","yes",217.1,2,"False."
"1203","no","no",83.5,0,"False."
"1204","no","yes",183.3,1,"False."
"1205","yes","no",236.8,1,"True."
"1207","no","yes",134,0,"False."
"1208","no","yes",176.6,2,"False."
"1209","no","no",191.4,3,"False."
"1210","yes","yes",174.8,0,"False."
"1211","no","no",275.2,1,"False."
"1213","no","no",165,1,"False."
"1214","no","no",228.7,1,"False."
"1215","no","no",107.9,2,"False."
"1216","no","no",221.3,1,"False."
"1218","no","yes",166.4,4,"False."
"1219","no","yes",249.6,3,"False."
"1220","no","no",178.6,1,"False."
"1221","no","no",139,2,"False."
"1222","no","no",134.3,2,"False."
"1224","no","yes",181.6,1,"False."
"1225","no","no",178.4,1,"False."
"1228","no","yes",184.5,0,"False."
"1229","no","yes",161.2,1,"False."
"1230","no","no",84.9,2,"False."
"1231","no","no",217.9,1,"False."
"1232","no","no",270.9,0,"True."
"1233","no","no",243,0,"True."
"1234","no","no",128.2,0,"False."
"1235","no","no",126.3,2,"False."
"1236","no","no",178.7,4,"False."
"1237","no","no",159,0,"False."
"1238","no","no",150.9,3,"False."
"1239","yes","yes",219.9,3,"False."
"1240","no","no",168,2,"False."
"1241","no","yes",162.1,4,"True."
"1242","no","no",198.8,5,"False."
"1243","yes","no",256.8,3,"False."
"1244","no","yes",182.8,1,"False."
"1245","no","yes",196.8,1,"False."
"1246","no","no",140.1,2,"False."
"1247","no","no",194.3,5,"False."
"1248","no","no",117.6,1,"False."
"1249","yes","no",193.7,0,"False."
"1251","no","no",145.4,1,"False."
"1252","no","no",169.1,3,"False."
"1253","no","no",229.3,2,"False."
"1256","no","no",76.1,0,"False."
"1257","no","no",162.8,2,"False."
"1258","no","no",182.3,1,"False."
"1259","yes","no",194.4,2,"False."
"1260","no","yes",189.3,2,"False."
"1261","no","yes",160.1,3,"False."
"1263","no","no",220.7,4,"False."
"1265","no","no",147,1,"False."
"1266","no","yes",260.8,1,"False."
"1267","no","no",155.4,0,"False."
"1268","no","no",166.2,1,"False."
"1269","no","no",211.8,0,"False."
"1270","no","yes",130.5,4,"True."
"1271","no","no",162.7,0,"False."
"1272","yes","yes",237.1,1,"False."
"1273","no","no",166.2,4,"False."
"1276","no","yes",67.4,2,"False."
"1277","no","no",229.7,1,"True."
"1278","no","yes",176,1,"False."
"1279","no","no",247.7,0,"True."
"1282","no","no",162.6,0,"False."
"1283","no","no",229.4,4,"False."
"1284","no","no",139.6,2,"False."
"1285","no","no",263.8,5,"True."
"1289","no","no",253.2,1,"False."
"1290","no","no",98,0,"False."
"1291","no","no",249.4,0,"False."
"1292","no","yes",129.6,1,"False."
"1294","no","no",220.7,1,"False."
"1295","no","no",87.6,1,"False."
"1296","no","no",203.6,0,"False."
"1297","no","no",213.6,2,"False."
"1298","no","yes",181.6,2,"False."
"1299","no","yes",215.4,1,"False."
"1300","no","no",266.3,2,"True."
"1302","no","no",115,3,"False."
"1303","no","no",270.5,1,"True."
"1304","no","no",222.2,1,"False."
"1305","no","no",61.9,3,"False."
"1306","no","no",141.1,2,"False."
"1307","no","no",189.2,3,"True."
"1308","no","no",196,3,"False."
"1309","no","no",171.6,0,"False."
"1310","yes","no",174,2,"False."
"1311","no","no",78.6,1,"True."
"1313","no","no",141.3,1,"False."
"1314","no","no",235.8,2,"False."
"1315","no","no",185.1,3,"False."
"1317","no","no",183,2,"False."
"1318","no","yes",163.5,2,"False."
"1319","no","no",207.9,2,"False."
"1320","no","no",248.6,3,"False."
"1321","no","yes",185.4,2,"False."
"1324","no","no",197.1,0,"False."
"1325","no","no",154.6,2,"False."
"1326","no","yes",153.1,6,"True."
"1327","no","no",211.2,2,"False."
"1328","no","no",96.8,2,"True."
"1329","no","no",172,1,"False."
"1330","no","no",141.1,2,"False."
"1331","no","yes",151.1,2,"False."
"1332","no","no",209.6,3,"False."
"1334","no","yes",221.4,1,"False."
"1335","no","no",321.3,1,"True."
"1336","no","no",243.7,0,"False."
"1337","no","no",251.5,3,"False."
"1338","yes","no",236.9,0,"True."
"1339","no","no",159.7,2,"False."
"1340","yes","no",148.2,4,"True."
"1341","no","no",150.9,1,"False."
"1342","no","yes",210.5,1,"False."
"1344","no","no",254.7,0,"False."
"1346","no","no",0,4,"True."
"1347","yes","no",133.7,1,"True."
"1348","no","no",224.9,0,"False."
"1349","no","no",151.8,1,"False."
"1350","no","yes",141.4,2,"False."
"1352","no","no",58.4,1,"False."
"1353","no","yes",90.4,0,"False."
"1354","no","no",114.4,0,"False."
"1356","no","yes",302.7,3,"False."
"1357","no","no",136.1,1,"False."
"1360","no","no",217.8,1,"True."
"1361","no","no",124.2,2,"False."
"1363","no","no",132.9,3,"False."
"1364","no","yes",104.9,3,"False."
"1366","no","no",184.5,1,"False."
"1367","no","no",89.5,3,"False."
"1370","no","no",223.9,1,"False."
"1371","no","no",179.5,1,"False."
"1372","no","no",169.4,1,"False."
"1373","no","no",118.1,1,"False."
"1375","no","yes",168.4,0,"False."
"1376","no","yes",214.3,0,"False."
"1377","no","no",245.7,4,"True."
"1379","yes","yes",142.8,1,"False."
"1380","no","no",202.4,3,"False."
"1381","no","no",116.8,1,"False."
"1382","no","no",155.7,1,"False."
"1383","no","yes",236.1,2,"False."
"1384","no","yes",138.1,2,"False."
"1386","no","no",81.3,0,"False."
"1387","no","yes",171.5,0,"False."
"1389","yes","no",197.2,4,"False."
"1390","no","no",194.1,1,"False."
"1391","no","no",115.7,1,"False."
"1392","no","yes",157.2,3,"False."
"1393","no","no",269.7,3,"True."
"1394","no","no",246.4,0,"False."
"1395","no","no",227.4,1,"False."
"1396","no","no",189.8,0,"False."
"1397","yes","yes",188.9,4,"False."
"1398","no","no",0,1,"False."
"1399","no","yes",110.5,1,"False."
"1401","no","no",132,3,"False."
"1402","no","no",167.8,0,"False."
"1406","no","no",143.2,4,"True."
"1408","no","yes",82.3,6,"True."
"1410","no","yes",183.1,0,"False."
"1411","no","no",162.1,1,"False."
"1412","no","no",166.6,1,"False."
"1413","no","yes",135.9,1,"False."
"1414","no","yes",165.7,0,"False."
"1415","no","no",176.1,1,"False."
"1418","no","no",83.2,1,"False."
"1419","yes","yes",235,2,"False."
"1420","no","no",105.7,2,"False."
"1421","yes","no",149.4,3,"True."
"1424","yes","yes",95.9,1,"False."
"1425","no","no",140.7,0,"False."
"1429","yes","no",200.6,2,"False."
"1431","no","yes",198,1,"False."
"1432","no","no",239.8,1,"False."
"1433","no","no",164.5,0,"False."
"1434","no","no",220.9,1,"False."
"1435","no","yes",112.8,2,"False."
"1437","no","yes",226.4,1,"False."
"1438","yes","yes",244.9,4,"False."
"1439","no","no",203.2,2,"False."
"1441","no","no",152.6,1,"False."
"1442","no","yes",274.9,1,"False."
"1444","yes","no",204.3,1,"False."
"1446","no","yes",222.5,1,"False."
"1447","no","yes",128.8,2,"False."
"1448","no","no",174.3,0,"False."
"1450","no","no",221.6,4,"False."
"1451","no","no",114.3,0,"False."
"1453","no","no",144.9,2,"False."
"1456","no","no",109.5,1,"False."
"1457","no","yes",81.6,1,"False."
"1458","no","no",133.4,1,"False."
"1459","no","no",137.1,1,"False."
"1461","no","no",198.1,3,"False."
"1462","no","no",39.5,0,"False."
"1463","no","no",199.5,2,"False."
"1464","no","no",156.8,1,"False."
"1465","no","no",183.4,3,"False."
"1466","no","no",132.4,1,"False."
"1468","yes","yes",181.1,0,"True."
"1469","no","yes",117.5,3,"False."
"1470","no","yes",218.7,0,"False."
"1471","no","yes",207.3,1,"False."
"1472","no","no",150.6,0,"False."
"1473","yes","no",273.3,1,"True."
"1474","yes","no",266.1,1,"False."
"1475","no","no",112.8,0,"False."
"1476","no","no",104.7,3,"False."
"1477","no","yes",193.8,0,"False."
"1479","no","no",253.2,2,"False."
"1482","no","yes",204.5,2,"False."
"1483","no","no",226.5,3,"False."
"1484","yes","no",234.1,1,"False."
"1485","yes","no",133.3,3,"True."
"1487","no","no",160.2,0,"False."
"1489","no","no",227.4,2,"False."
"1491","no","no",196.1,1,"False."
"1492","no","no",197.1,1,"False."
"1493","no","no",219.6,1,"False."
"1494","no","yes",153.4,4,"True."
"1495","no","no",216,2,"False."
"1496","no","yes",222.9,0,"False."
"1498","no","no",189.8,1,"False."
"1499","no","no",154.7,0,"False."
"1501","no","no",170.5,1,"False."
"1502","no","no",272.4,0,"False."
"1503","no","yes",210,8,"False."
"1505","no","no",153.9,2,"False."
"1507","no","no",252.4,2,"False."
"1508","no","no",197.9,1,"False."
"1511","no","no",265.6,1,"False."
"1512","no","no",197.3,1,"False."
"1513","no","yes",199.1,1,"False."
"1515","no","no",183.1,1,"False."
"1516","no","no",139.4,2,"False."
"1518","no","no",207.1,1,"False."
"1521","no","yes",169.8,2,"False."
"1523","no","no",159.9,1,"False."
"1524","no","no",115.1,2,"False."
"1525","no","yes",136.8,2,"False."
"1527","no","yes",243.9,2,"False."
"1528","no","no",117.1,0,"False."
"1529","no","no",223.3,0,"True."
"1530","no","no",154.8,3,"False."
"1531","no","no",261.4,1,"True."
"1533","no","yes",149.9,0,"True."
"1535","no","no",259.4,1,"True."
"1538","yes","yes",156.5,4,"True."
"1539","no","no",61.2,5,"True."
"1540","yes","no",245.2,0,"False."
"1541","no","no",102.3,3,"False."
"1543","yes","no",227.4,0,"False."
"1544","no","no",192.8,1,"False."
"1546","no","yes",219.4,2,"False."
"1548","no","no",87.7,1,"False."
"1549","no","no",271.1,1,"False."
"1550","no","no",103.4,1,"False."
"1551","no","no",52.2,2,"False."
"1553","no","no",147.5,2,"False."
"1555","no","no",235.7,1,"False."
"1556","no","yes",204.5,2,"False."
"1557","no","no",178.4,0,"False."
"1558","no","yes",130.1,2,"False."
"1559","no","yes",103.7,2,"False."
"1561","no","no",148.4,0,"False."
"1563","no","no",191.1,0,"False."
"1565","no","no",97.5,1,"False."
"1566","no","no",128.7,0,"False."
"1568","no","no",85.9,0,"False."
"1570","no","yes",194.4,0,"False."
"1571","no","no",167.6,2,"False."
"1574","no","yes",143.2,1,"False."
"1575","yes","yes",216.4,1,"False."
"1576","no","yes",161.9,1,"False."
"1577","no","no",118.7,3,"False."
"1578","no","no",179.1,1,"False."
"1579","no","no",147.9,2,"False."
"1580","no","yes",209.2,2,"False."
"1582","no","yes",175.3,1,"False."
"1583","no","no",150.5,1,"False."
"1584","no","yes",197.4,0,"False."
"1585","no","no",163.5,1,"False."
"1586","no","no",236.9,2,"True."
"1589","yes","no",180,1,"False."
"1590","no","no",143.7,1,"False."
"1591","no","yes",198.2,1,"False."
"1593","no","no",137.6,3,"False."
"1594","yes","no",273.9,1,"True."
"1596","no","no",178.8,3,"False."
"1597","no","yes",214.9,0,"False."
"1598","no","no",163,2,"False."
"1600","no","no",189.5,1,"False."
"1601","no","yes",155.2,0,"False."
"1602","yes","no",242.3,0,"True."
"1604","no","yes",112,2,"False."
"1605","no","no",115.5,3,"False."
"1606","no","no",137.1,1,"False."
"1607","no","no",198.4,0,"False."
"1608","no","yes",132.7,3,"False."
"1609","no","yes",219.6,2,"False."
"1610","no","no",169.6,0,"False."
"1612","no","yes",95,0,"False."
"1613","no","no",160.1,2,"False."
"1614","no","no",194.6,3,"False."
"1615","no","no",236.4,1,"True."
"1616","no","no",157.1,2,"False."
"1617","no","no",179.8,0,"False."
"1618","yes","no",148.2,0,"False."
"1621","no","yes",224,0,"False."
"1623","no","no",184.8,1,"False."
"1624","no","no",176.3,1,"False."
"1625","no","no",241.7,2,"False."
"1626","no","yes",224.7,0,"False."
"1627","no","no",207.3,1,"False."
"1628","no","no",196.8,2,"False."
"1629","no","no",110.9,1,"False."
"1630","no","no",122.5,2,"False."
"1631","no","no",226.9,2,"False."
"1632","no","no",187,2,"False."
"1634","no","no",204.8,0,"False."
"1636","no","no",154,4,"True."
"1637","no","yes",158.1,1,"False."
"1638","no","no",225.2,2,"False."
"1639","no","no",159.4,6,"True."
"1641","no","no",222.8,3,"False."
"1642","yes","no",214.1,1,"False."
"1643","no","no",54.8,1,"False."
"1644","no","no",134,3,"False."
"1645","no","no",184.8,1,"False."
"1646","no","yes",283.1,3,"False."
"1648","no","no",222.7,1,"False."
"1649","no","no",174.5,0,"False."
"1650","no","no",68.4,0,"False."
"1652","yes","no",225.3,1,"True."
"1653","no","yes",283.2,1,"False."
"1654","yes","no",131.4,1,"True."
"1655","no","yes",89.7,1,"False."
"1656","no","no",127.1,3,"False."
"1657","no","yes",105.9,1,"False."
"1658","no","no",142.3,2,"False."
"1661","no","no",247.3,3,"False."
"1662","no","yes",242.2,1,"False."
"1663","yes","no",127.3,5,"True."
"1665","no","yes",179.1,2,"False."
"1666","no","yes",197.4,3,"False."
"1667","no","no",148.2,2,"False."
"1669","no","no",171.7,1,"False."
"1671","no","yes",121.7,1,"False."
"1672","no","no",130.2,2,"False."
"1674","no","no",174.7,5,"False."
"1675","yes","no",241,1,"True."
"1676","no","no",141.7,0,"False."
"1678","no","no",163.1,1,"False."
"1679","no","no",145.5,1,"False."
"1680","no","no",329.8,0,"True."
"1681","no","no",194.5,2,"False."
"1683","no","yes",150,1,"False."
"1686","no","no",143.6,3,"False."
"1687","no","yes",231.9,2,"False."
"1688","no","no",37.8,3,"False."
"1689","no","no",72.8,3,"False."
"1690","no","yes",94.8,1,"False."
"1691","no","yes",221.8,1,"False."
"1692","no","no",269,2,"True."
"1693","no","no",268.3,1,"True."
"1694","no","yes",198.7,1,"False."
"1695","no","no",115.5,7,"True."
"1696","no","no",202.1,2,"False."
"1697","no","no",215.6,1,"False."
"1699","no","no",201.7,0,"False."
"1700","no","no",221.1,4,"False."
"1701","no","yes",218.7,2,"False."
"1702","no","no",293.7,2,"True."
"1703","no","no",120.3,4,"True."
"1704","no","yes",175.8,2,"False."
"1705","no","no",278.5,1,"True."
"1706","no","yes",236.3,3,"False."
"1707","no","no",273.8,1,"False."
"1710","no","no",197.7,3,"False."
"1712","yes","yes",225.2,0,"False."
"1713","no","no",174.5,4,"False."
"1714","no","no",129.7,5,"True."
"1716","no","yes",95.9,0,"False."
"1718","no","no",129.9,1,"False."
"1719","yes","no",268.4,2,"True."
"1721","no","no",170.6,1,"False."
"1722","no","no",191.4,1,"False."
"1723","no","no",75.3,1,"False."
"1724","no","no",149.8,2,"False."
"1725","no","no",115.9,1,"False."
"1726","no","no",128.8,2,"False."
"1727","no","no",131.7,1,"False."
"1728","no","no",101.4,1,"False."
"1729","no","yes",149,4,"False."
"1730","no","yes",96.8,2,"False."
"1732","no","no",232.8,0,"True."
"1735","no","no",157.7,1,"False."
"1737","no","no",286.4,1,"True."
"1738","no","no",141.7,0,"False."
"1741","no","yes",218.5,0,"False."
"1742","no","no",255.3,3,"False."
"1743","no","no",41.9,1,"False."
"1745","no","yes",239.4,0,"False."
"1746","no","no",226.7,0,"False."
"1748","no","no",158,1,"False."
"1749","no","yes",175.7,1,"False."
"1752","no","no",182.7,1,"False."
"1753","yes","no",161.3,0,"True."
"1754","no","no",142.5,2,"False."
"1755","yes","no",190.5,2,"True."
"1757","yes","yes",153.8,1,"False."
"1758","yes","no",180.7,2,"False."
"1759","no","no",202.7,0,"False."
"1761","no","no",205.1,2,"False."
"1766","no","no",132.6,4,"True."
"1767","no","no",182.3,2,"False."
"1768","no","yes",192.3,2,"False."
"1769","yes","no",122,2,"True."
"1770","no","no",193,2,"False."
"1771","no","no",158.6,0,"False."
"1774","yes","yes",221.6,1,"False."
"1775","no","no",244.7,1,"False."
"1779","no","yes",117.6,2,"False."
"1784","no","yes",144.6,1,"False."
"1785","yes","no",153.6,0,"True."
"1786","no","yes",135.8,2,"False."
"1789","no","yes",152.2,1,"False."
"1790","no","no",227.4,0,"False."
"1791","no","no",191.6,2,"False."
"1793","no","no",127,0,"False."
"1794","no","no",168.6,1,"False."
"1795","no","no",286.6,1,"True."
"1796","no","yes",164.6,1,"False."
"1797","no","no",144,1,"False."
"1798","no","yes",141.6,0,"False."
"1799","no","no",204.3,1,"False."
"1800","no","no",163.2,1,"False."
"1801","no","no",225,0,"False."
"1807","no","no",241.9,0,"False."
"1808","no","no",196.1,3,"False."
"1810","no","no",161.6,1,"False."
"1811","no","no",194,0,"False."
"1812","no","no",109.7,3,"False."
"1814","no","no",192.1,0,"False."
"1815","no","no",198.4,0,"False."
"1816","no","yes",209.2,0,"False."
"1817","no","no",184.8,2,"False."
"1818","no","no",167.8,2,"False."
"1819","no","no",139.2,3,"False."
"1820","no","yes",221.3,0,"False."
"1821","no","no",121.6,1,"False."
"1823","no","no",139.6,2,"False."
"1824","no","yes",253,2,"False."
"1825","no","yes",183.9,1,"False."
"1828","no","no",167.6,2,"False."
"1829","no","no",156.5,2,"False."
"1830","no","yes",215.1,1,"False."
"1831","no","no",301.7,1,"False."
"1833","no","no",195.4,1,"False."
"1834","no","no",208.7,2,"False."
"1836","no","yes",185.4,4,"False."
"1838","yes","no",54.2,1,"True."
"1839","no","yes",208,1,"False."
"1840","no","no",230.3,1,"False."
"1841","no","yes",240.8,2,"False."
"1842","no","yes",195.7,2,"False."
"1843","no","no",276.1,0,"True."
"1844","no","no",166.1,2,"False."
"1847","no","yes",177.9,1,"False."
"1848","no","yes",143.9,2,"False."
"1850","no","no",287.1,2,"True."
"1852","no","no",165.8,5,"True."
"1853","no","yes",144.1,1,"False."
"1854","no","no",172.5,0,"False."
"1855","no","no",199.8,1,"False."
"1856","no","no",109.1,2,"False."
"1857","no","no",171.8,1,"False."
"1858","no","no",222.3,1,"True."
"1859","no","no",245.8,0,"False."
"1861","no","no",211.7,0,"False."
"1862","yes","yes",147.2,0,"True."
"1863","yes","no",254.7,0,"True."
"1864","yes","no",170.1,1,"False."
"1865","no","no",195.1,0,"False."
"1866","no","no",149.3,7,"True."
"1867","no","no",81.9,2,"True."
"1868","yes","yes",191.1,0,"False."
"1869","no","no",206.9,3,"False."
"1871","no","no",179.3,0,"False."
"1873","yes","no",141.4,2,"False."
"1874","no","yes",248.6,1,"False."
"1875","no","no",152.5,2,"False."
"1876","no","no",145.6,1,"False."
"1877","no","no",164.2,1,"False."
"1878","yes","no",221,1,"False."
"1879","no","no",295.4,1,"True."
"1880","no","no",139.8,2,"False."
"1881","no","no",162.3,4,"True."
"1883","yes","yes",200.3,2,"False."
"1884","no","yes",157.1,1,"False."
"1886","no","no",236.7,1,"False."
"1887","no","no",111.4,3,"False."
"1888","yes","yes",156.1,0,"True."
"1889","no","no",191.1,2,"False."
"1890","no","no",153,1,"True."
"1891","no","no",218.8,4,"False."
"1892","no","no",205.4,3,"False."
"1894","no","no",249.9,2,"True."
"1895","no","no",131.6,3,"False."
"1896","no","yes",197.9,0,"False."
"1897","no","no",166.5,1,"False."
"1899","no","no",275.8,2,"True."
"1903","no","no",210.3,1,"False."
"1904","yes","yes",225.7,1,"True."
"1905","no","yes",167.8,4,"True."
"1906","no","no",197.7,2,"False."
"1907","no","yes",169.8,1,"False."
"1908","no","yes",190.6,2,"False."
"1909","no","yes",80.3,2,"False."
"1910","no","yes",231.7,0,"False."
"1911","no","no",69.1,0,"False."
"1912","no","no",188.8,4,"False."
"1914","no","no",192,2,"False."
"1915","no","yes",163.7,3,"False."
"1916","no","no",211.7,1,"False."
"1918","no","no",150.1,2,"False."
"1919","no","no",189.5,1,"False."
"1920","no","no",70.8,6,"True."
"1921","no","no",215.5,1,"False."
"1925","no","no",131.8,1,"False."
"1926","no","no",190.2,2,"False."
"1927","no","no",154.1,2,"False."
"1928","no","no",188,3,"False."
"1929","no","no",103.1,1,"False."
"1932","yes","no",250.6,1,"False."
"1933","no","no",161.5,1,"False."
"1934","no","no",260.1,1,"True."
"1935","no","no",281.3,0,"True."
"1936","yes","yes",130.1,3,"True."
"1938","no","yes",218.7,1,"False."
"1939","no","yes",128.5,1,"False."
"1940","no","no",128.7,2,"True."
"1941","no","no",172.2,1,"False."
"1942","no","no",199.2,1,"False."
"1948","no","no",186.1,0,"False."
"1949","no","no",148.5,1,"False."
"1950","no","no",157.1,0,"False."
"1951","no","no",155,4,"True."
"1952","yes","yes",129.3,1,"False."
"1953","no","no",188.5,1,"False."
"1954","no","no",208.8,0,"False."
"1955","no","no",238,0,"True."
"1956","no","no",211.1,0,"False."
"1957","no","yes",198.9,3,"False."
"1959","no","no",137.4,3,"False."
"1960","no","yes",191.8,2,"False."
"1961","no","no",149,0,"False."
"1962","no","no",117.1,3,"False."
"1963","no","no",108,3,"False."
"1964","no","no",112.8,0,"False."
"1966","no","no",236.6,1,"True."
"1967","no","no",169.4,1,"False."
"1968","no","no",129.6,3,"False."
"1969","no","no",177.1,1,"False."
"1970","no","yes",133.3,1,"False."
"1971","no","no",167.8,5,"False."
"1972","no","yes",174.6,1,"False."
"1973","no","no",150.3,2,"False."
"1974","no","yes",283.2,5,"False."
"1975","no","yes",157.8,5,"True."
"1976","no","no",141.2,2,"False."
"1977","no","yes",230.2,1,"False."
"1980","no","no",221.1,1,"False."
"1982","no","no",118,1,"False."
"1983","no","no",163.8,0,"False."
"1984","no","yes",141.3,3,"False."
"1985","no","no",272.5,3,"True."
"1986","no","yes",118.9,2,"False."
"1987","no","no",7.9,0,"False."
"1988","no","no",159.5,0,"False."
"1989","no","no",150.2,1,"False."
"1990","no","yes",144.5,2,"False."
"1991","no","no",140.7,2,"False."
"1992","no","no",169.2,1,"False."
"1993","no","no",220.8,2,"False."
"1994","no","no",216.3,0,"False."
"1995","no","no",169.5,0,"False."
"1996","no","yes",256.3,1,"False."
"1997","no","no",179.7,1,"False."
"1998","no","no",266,3,"False."
"1999","no","no",96.7,2,"False."
"2000","no","no",82.7,0,"False."
"2001","no","no",168.2,3,"False."
"2003","no","no",174.3,3,"False."
"2007","no","yes",204.6,3,"False."
"2009","no","yes",253.1,3,"False."
"2010","no","no",130,0,"False."
"2011","no","no",105.9,0,"False."
"2012","no","no",194.2,3,"False."
"2013","no","no",183.8,1,"False."
"2014","no","no",196.5,2,"False."
"2015","no","no",184.5,3,"False."
"2016","no","no",261.9,0,"False."
"2017","no","no",202.4,3,"False."
"2018","no","yes",167.4,3,"False."
"2021","no","no",240.2,2,"False."
"2022","no","yes",189.1,1,"False."
"2023","no","no",127.7,1,"False."
"2025","no","yes",153.6,2,"False."
"2026","no","no",154.5,2,"False."
"2027","no","no",153.7,1,"False."
"2028","yes","yes",171.2,1,"False."
"2029","no","no",328.1,1,"True."
"2030","yes","no",145.9,0,"True."
"2031","no","yes",201.2,1,"False."
"2032","no","no",139.1,5,"False."
"2033","no","no",118.9,2,"False."
"2034","no","no",217.6,2,"True."
"2035","no","no",145,1,"False."
"2039","no","no",269.8,1,"True."
"2040","no","yes",126.3,1,"False."
"2041","no","yes",88.1,2,"False."
"2042","no","yes",218.5,2,"False."
"2043","no","yes",236.8,1,"False."
"2046","no","no",222.7,4,"False."
"2047","no","no",149.2,1,"False."
"2048","no","no",206.5,3,"False."
"2049","no","yes",159.7,3,"False."
"2050","no","yes",204.7,2,"False."
"2052","yes","no",269.6,1,"False."
"2055","no","no",140.2,1,"False."
"2060","no","no",269.2,3,"True."
"2061","no","yes",203.8,0,"False."
"2062","no","yes",268.4,0,"False."
"2063","no","no",159.1,1,"False."
"2064","no","no",114.4,2,"False."
"2066","no","no",186,1,"False."
"2067","no","yes",170.4,0,"False."
"2068","no","no",164.5,4,"False."
"2070","no","no",261.2,0,"True."
"2071","no","no",190.5,1,"False."
"2073","no","no",177.1,3,"False."
"2074","no","no",160.5,1,"False."
"2075","no","no",134.7,2,"False."
"2076","no","yes",198.2,2,"False."
"2077","yes","no",228.9,4,"True."
"2078","no","no",241.7,0,"False."
"2079","no","no",131.1,1,"False."
"2081","no","no",200.1,0,"False."
"2083","no","yes",224.2,0,"False."
"2084","no","no",148.3,3,"False."
"2085","no","yes",174.6,2,"False."
"2088","no","no",162.3,4,"False."
